rank,country_code,country_name,rider_name,rider_link,wins,seasons_active,first_win,last_win,is_champion,is_active_2025,row_index
37,ITA,Italy,Marco Melandri,https://en.wikipedia.org/wiki/Marco_Melandri,5,2003–20102015,2005 MotoGP Turkish Grand Prix,2006 MotoGP Australian Grand Prix,True,False,40
37,PRT,Portugal,Miguel Oliveira,https://en.wikipedia.org/wiki/Miguel_Oliveira,5,2019–,2020 MotoGP Styrian Grand Prix,2022 MotoGP Thailand Grand Prix,False,True,41
42,IRL,Republic of Ireland,Reg Armstrong,https://en.wikipedia.org/wiki/Reg_Armstrong,4,1949–1956,1952 500cc Isle of Man TT,1956 500cc West German Grand Prix,False,False,42
42,ITA,Italy,Libero Liberati,https://en.wikipedia.org/wiki/Libero_Liberati,4,1952–19531955–1957,1957 500cc German Grand Prix,1957 500cc Nations Grand Prix,True,False,43
42,USA,United States,John Kocinski,https://en.wikipedia.org/wiki/John_Kocinski,4,19891991–19941998–1999,1991 500cc Malaysian Grand Prix,1994 500cc Australian Grand Prix,True,False,44
42,JPN,Japan,Tadayuki Okada,https://en.wikipedia.org/wiki/Tadayuki_Okada,4,1996–20002008,1997 500cc Indonesian Grand Prix,1999 500cc Australian Grand Prix,False,False,45
42,AUS,Australia,Jack Miller,https://en.wikipedia.org/wiki/Jack_Miller_(motorcyclist),4,2015–,2016 MotoGP Dutch TT,2022 MotoGP Japanese Grand Prix,False,True,46
42,ITA,Italy,Marco Bezzecchi,https://en.wikipedia.org/wiki/Marco_Bezzecchi,4,2022–,2023 MotoGP Argentine Grand Prix,2025 MotoGP British Grand Prix,False,True,47
48,ITA,Italy,Alfredo Milani,https://en.wikipedia.org/wiki/Alfredo_Milani,3,1950–1957,1951 500cc French Grand Prix,1953 500cc Belgian Grand Prix,False,False,48
48,UK,United Kingdom,John Hartle,https://en.wikipedia.org/wiki/John_Hartle,3,1955–19561958–19601963–19641967–1968,1956 500cc Ulster Grand Prix,1963 500cc Dutch TT,False,False,49
48,ITA,Italy,Alberto Pagani,https://en.wikipedia.org/wiki/Alberto_Pagani,3,1960–19611968–1972,1969 500cc Nations Grand Prix,1972 500cc Yugoslavian Grand Prix,False,False,50
48,AUS,Australia,Jack Findlay,https://en.wikipedia.org/wiki/Jack_Findlay,3,1958–1978,1971 500cc Ulster Grand Prix,1977 500cc Austrian Grand Prix,False,False,51
48,USA,United States,Pat Hennen,https://en.wikipedia.org/wiki/Pat_Hennen,3,1976–1978,1976 500cc Finnish Grand Prix,1978 500cc Spanish Grand Prix,False,False,52
